event_time,event_mag,station,phase,pn_time,confidence,matched,residual,week_idx,pi_Q,pi_A,pi_D
2021-01-06 14:08:47.920,3.1,PDGK,P,2021-01-06 14:09:27.746000,0.82110643,False,,53,1.0,0.0,0.0
2021-01-08 03:48:57.670,3.78,PDGK,P,2021-01-08 03:49:27.096000,0.880346,True,0.086,53,1.0,0.0,0.0
2021-01-08 03:48:57.670,3.78,PDGK,S,2021-01-08 03:49:50.636000,0.40732515,False,,53,1.0,0.0,0.0
2021-01-12 13:21:59.190,3.03,PDGK,P,2021-01-12 13:22:22.341000,0.9452437,True,0.041,53,1.0,0.0,0.0
2021-01-12 13:21:59.190,3.03,PDGK,S,2021-01-12 13:22:39.291000,0.85600674,False,,53,1.0,0.0,0.0
2021-01-20 13:42:30.830,4.07,PDGK,P,2021-01-20 13:43:19.381000,0.3077539,False,,55,1.0,0.0,0.0
2021-01-20 13:42:30.830,4.07,PDGK,P,2021-01-20 13:43:20.991000,0.529927,False,,55,1.0,0.0,0.0
2021-01-20 13:42:30.830,4.07,PDGK,S,2021-01-20 13:43:59.061000,0.6007538,False,,55,1.0,0.0,0.0
2021-02-01 12:38:40.930,4.21,PDGK,P,2021-02-01 12:39:35.811000,0.70053244,False,,56,1.0,0.0,0.0
2021-03-14 10:25:59.020,4.12,PDGK,P,2021-03-14 10:26:34.326000,0.8542187,False,,62,1.0,0.0,0.0
2021-03-14 12:20:02.600,4.55,PDGK,P,2021-03-14 12:21:00.711000,0.83490145,True,0.131,62,1.0,0.0,0.0
2021-03-17 06:27:16.710,3.34,PDGK,P,2021-03-17 06:27:44.096000,0.79774237,True,-0.214,63,1.0,0.0,0.0
2021-03-17 06:27:16.710,3.34,PDGK,S,2021-03-17 06:28:04.356000,0.55127424,False,,63,1.0,0.0,0.0
2021-03-23 21:14:19.340,4.97,PDGK,P,2021-03-23 21:14:53.051000,0.6431843,True,0.451,63,1.0,0.0,0.0
2021-03-24 00:04:35.560,4.12,PDGK,P,2021-03-24 00:05:10.586000,0.749072,False,,64,1.0,0.0,0.0
2021-03-24 00:04:35.560,4.12,PDGK,S,2021-03-24 00:05:42.056000,0.58956784,False,,64,1.0,0.0,0.0
2021-03-24 13:14:13.490,4.0,PDGK,P,2021-03-24 13:14:48.631000,0.8105243,True,0.031,64,1.0,0.0,0.0
2021-03-24 13:14:13.490,4.0,PDGK,S,2021-03-24 13:15:20.111000,0.31393152,False,,64,1.0,0.0,0.0
2021-05-06 07:07:18.260,3.29,PDGK,P,2021-05-06 07:07:32.256000,0.8967892,True,-0.064,70,1.0,0.0,0.0
2021-05-06 07:07:18.260,3.29,PDGK,S,2021-05-06 07:07:41.696000,0.8389956,True,0.116,70,1.0,0.0,0.0
2021-06-14 07:09:14.780,4.35,PDGK,P,2021-06-14 07:09:58.981000,0.83851945,False,,75,1.0,0.0,0.0
2021-06-14 07:09:14.780,4.35,PDGK,S,2021-06-14 07:10:34.381000,0.37401792,False,,75,1.0,0.0,0.0
2021-06-25 01:42:11.280,3.89,PDGK,P,2021-06-25 01:43:08.951000,0.83749795,True,0.151,77,1.0,0.0,0.0
2021-06-25 01:42:11.280,3.89,PDGK,S,2021-06-25 01:43:52.931000,0.44167888,False,,77,1.0,0.0,0.0
2021-06-25 01:42:11.280,3.89,MKAR,P,2021-06-25 01:43:36.311000,0.46262187,True,0.211,77,1.0,0.0,0.0
2021-06-26 11:19:42.290,3.19,PDGK,P,2021-06-26 11:20:24.711000,0.6606338,True,0.131,77,1.0,0.0,0.0
2021-06-26 11:19:42.290,3.19,PDGK,S,2021-06-26 11:21:00.541000,0.55629456,False,,77,1.0,0.0,0.0
2021-07-01 23:08:26.390,3.23,PDGK,P,2021-07-01 23:09:19.631000,0.6972914,True,0.321,78,1.0,0.0,0.0
2021-07-01 23:08:26.390,3.23,PDGK,S,2021-07-01 23:10:09.231000,0.35255125,False,,78,1.0,0.0,0.0
2021-07-01 23:08:26.390,3.23,MKAR,P,2021-07-01 23:09:40.151000,0.51025224,True,-0.149,78,1.0,0.0,0.0
2021-07-01 23:08:26.390,3.23,MKAR,S,2021-07-01 23:09:55.071000,0.42739484,False,,78,1.0,0.0,0.0
2021-07-02 01:15:43.910,3.47,PDGK,P,2021-07-02 01:16:13.166000,0.75316894,True,0.046,78,1.0,0.0,0.0
